schema,table,column,type,max_length,is_nullable,has_default
dbo,cm05,CM05_XDTE,smalldatetime,4,1,0
dbo,cm05,CM05_CONTRACTSIGNED,bit,1,1,1
dbo,cm05,CM05_BILLTODT,smalldatetime,4,1,0
dbo,cm05,CM05_POREQ,bit,1,1,1
dbo,cm05,CM05_LATT,decimal,9,1,0
dbo,cm05,CM05_LONG,decimal,9,1,0
dbo,cm05,CM05_DEMDAYS,int,4,1,0
dbo,cm05,CM05_DEMRATE,decimal,9,1,0
dbo,cm05,CM05_GDTE,smalldatetime,4,1,0
dbo,cm05,CM05_DEMDATE,smalldatetime,4,1,0
dbo,cm05,CM05_DEMDATEO,smalldatetime,4,1,0
dbo,cm05,CM05_REINSDATE,smalldatetime,4,1,0
dbo,cm05,CM05_LOST,varchar,2,1,0
dbo,cm05,CM05_INITIALTERM,int,4,1,0
dbo,cm05,CM05_RENEWTERM,int,4,1,0
dbo,cm05,CM05_CTG,nvarchar,4,1,0
dbo,cm05,CM05_FAC,nvarchar,4,1,0
dbo,cm05,CM05_MATL,varchar,2,1,0
dbo,cm05,CM05_ESTT,varchar,10,1,0
dbo,cm05,CM05_EFFD,smalldatetime,4,1,0
dbo,cm05,CM05_WDFREQ,int,4,1,0
dbo,cm05,CM05_WDACTV,varchar,2,1,0
dbo,cm05,CM05_WDLIFTS,decimal,9,1,0
dbo,cm05,CM05_WDRNUMB,int,4,1,0
dbo,cm05,CM05_WDLASTDATE,smalldatetime,4,1,0
dbo,cm12,CM12_CODE,varchar,2,0,0
dbo,cm12,CM12_DESC,nvarchar,80,0,0
dbo,cm12,CM12_INVN,nvarchar,2,1,0
dbo,cm12,CM12_TERM,bit,1,0,0
dbo,cm12,CM12_UNIT,nvarchar,2,1,0
dbo,cm12,CM12_RATE,decimal,9,1,0
dbo,cm12,CM12_FACT,decimal,9,1,0
dbo,cm12,CM12_ACTIVE,bit,1,0,1
dbo,cm12,CM12_ROUTABLE,bit,1,0,1
dbo,cm12,CM12_DEMC,bit,1,1,0
dbo,cm12,CM12_STAGED,bit,1,0,1
dbo,cm12,CM12_BININSTALL,bit,1,0,1
dbo,lm02,LM02_DSTE,nvarchar,4,0,0
dbo,lm02,LM02_NUMB,varchar,12,0,0
dbo,lm02,LM02_INOT,bit,1,0,1
dbo,lm02,LM02_DATE,smalldatetime,4,1,0
dbo,lm02,LM02_DQTY,decimal,9,1,0
dbo,lm02,LM02_DUOM,varchar,2,1,0
dbo,lm02,LM02_DAMT,decimal,9,1,0
dbo,lm02,LM02_CUST,int,4,1,0
dbo,lm02,LM02_SITE,int,4,1,0
dbo,lm02,LM02_SERV,int,4,1,0
dbo,lm02,LM02_ROUT,int,4,1,0
dbo,lm02,LM02_BQTY,decimal,9,1,0
dbo,lm02,LM02_BUOM,varchar,2,1,0
dbo,lm02,LM02_BAMT,decimal,9,1,0
dbo,lm02,LM02_MATL,varchar,2,1,0
dbo,lm02,LM02_BLAD,nvarchar,120,1,0
dbo,lm02,LM02_PORD,nvarchar,30,1,0
dbo,lm02,LM02_CARR,nvarchar,82,1,0
dbo,lm02,LM02_NOT1,nvarchar,100,1,0
dbo,lm02,LM02_NOT2,nvarchar,100,1,0
